neighborhood,period,entries_usage_yoy,exits_usage_yoy
Astoria & Long Island City ,4/1/2020,0.078000712,0.117464351
Astoria & Long Island City ,5/1/2020,0.100522913,0.14873798
Astoria & Long Island City ,6/1/2020,0.181805868,0.254448503
Astoria & Long Island City ,7/1/2020,0.260653887,0.357217805
Astoria & Long Island City ,8/1/2020,0.272065832,0.376871461
Astoria & Long Island City ,9/1/2020,0.305874681,0.411523269
Astoria & Long Island City ,10/1/2020,0.323015435,0.446287258
Astoria & Long Island City ,11/1/2020,0.308481434,0.412443744
Astoria & Long Island City ,12/1/2020,0.305667245,0.420864617
Astoria & Long Island City ,1/1/2021,0.27922718,0.377461341
Astoria & Long Island City ,2/1/2021,0.276158336,0.392011832
"Battery Park City, Greenwich Village & Soho ",4/1/2020,0.038979127,0.058963708
"Battery Park City, Greenwich Village & Soho ",5/1/2020,0.049853167,0.073041545
"Battery Park City, Greenwich Village & Soho ",6/1/2020,0.092890873,0.125595844
"Battery Park City, Greenwich Village & Soho ",7/1/2020,0.134263939,0.178384665
"Battery Park City, Greenwich Village & Soho ",8/1/2020,0.155889919,0.208644539
"Battery Park City, Greenwich Village & Soho ",9/1/2020,0.183769091,0.244182791
"Battery Park City, Greenwich Village & Soho ",10/1/2020,0.19173564,0.255725338
"Battery Park City, Greenwich Village & Soho ",11/1/2020,0.18711626,0.256326767
"Battery Park City, Greenwich Village & Soho ",12/1/2020,0.180577189,0.245639922
"Battery Park City, Greenwich Village & Soho ",1/1/2021,0.173811901,0.238883436
"Battery Park City, Greenwich Village & Soho ",2/1/2021,0.172997312,0.241008862
Bay Ridge & Dyker Heights ,4/1/2020,0.102361566,0.16569459
Bay Ridge & Dyker Heights ,5/1/2020,0.126593808,0.214588142
Bay Ridge & Dyker Heights ,6/1/2020,0.221161292,0.39258199
Bay Ridge & Dyker Heights ,7/1/2020,0.308856771,0.538429327
Bay Ridge & Dyker Heights ,8/1/2020,0.349425336,0.534111234
Bay Ridge & Dyker Heights ,9/1/2020,0.376079413,0.523940679
Bay Ridge & Dyker Heights ,10/1/2020,0.368230152,0.489490836
Bay Ridge & Dyker Heights ,11/1/2020,0.384839112,0.517400623
Bay Ridge & Dyker Heights ,12/1/2020,0.358776052,0.495157636
Bay Ridge & Dyker Heights ,1/1/2021,0.341448402,0.481617937
Bay Ridge & Dyker Heights ,2/1/2021,0.347472923,0.534115575
"Bedford Park, Fordham North & Norwood ",4/1/2020,0.174512926,0.270164953
"Bedford Park, Fordham North & Norwood ",5/1/2020,0.204100162,0.321931257
"Bedford Park, Fordham North & Norwood ",6/1/2020,0.289121148,0.425185749
"Bedford Park, Fordham North & Norwood ",7/1/2020,0.353065934,0.510237415
"Bedford Park, Fordham North & Norwood ",8/1/2020,0.357180447,0.534437881
"Bedford Park, Fordham North & Norwood ",9/1/2020,0.399921579,0.535851195
"Bedford Park, Fordham North & Norwood ",10/1/2020,0.418896671,0.566042432
"Bedford Park, Fordham North & Norwood ",11/1/2020,0.417914113,0.58249278
"Bedford Park, Fordham North & Norwood ",12/1/2020,0.426988062,0.571591363
"Bedford Park, Fordham North & Norwood ",1/1/2021,0.400750461,0.537127964
"Bedford Park, Fordham North & Norwood ",2/1/2021,0.381399233,0.505240198
Bedford-Stuyvesant ,4/1/2020,0.112633474,0.213656784
Bedford-Stuyvesant ,5/1/2020,0.125653808,0.219122133
Bedford-Stuyvesant ,6/1/2020,0.198976402,0.322092553
Bedford-Stuyvesant ,7/1/2020,0.257696604,0.383208281
Bedford-Stuyvesant ,8/1/2020,0.284471326,0.414989419
Bedford-Stuyvesant ,9/1/2020,0.312958606,0.434564939
Bedford-Stuyvesant ,10/1/2020,0.326800174,0.446728277
Bedford-Stuyvesant ,11/1/2020,0.312395811,0.444303619
Bedford-Stuyvesant ,12/1/2020,0.320973595,0.473701907
Bedford-Stuyvesant ,1/1/2021,0.286002879,0.436172335
Bedford-Stuyvesant ,2/1/2021,0.285762761,0.450310675
"Belmont, Crotona Park East & East Tremont ",4/1/2020,0.18102865,0.282278316
"Belmont, Crotona Park East & East Tremont ",5/1/2020,0.206125622,0.314182598
"Belmont, Crotona Park East & East Tremont ",6/1/2020,0.271385332,0.40850629
"Belmont, Crotona Park East & East Tremont ",7/1/2020,0.336068957,0.50532151
"Belmont, Crotona Park East & East Tremont ",8/1/2020,0.340787731,0.518599336
"Belmont, Crotona Park East & East Tremont ",9/1/2020,0.388647112,0.535898985
"Belmont, Crotona Park East & East Tremont ",10/1/2020,0.395696081,0.547879198
"Belmont, Crotona Park East & East Tremont ",11/1/2020,0.418062413,0.615001986
"Belmont, Crotona Park East & East Tremont ",12/1/2020,0.406774187,0.574276509
"Belmont, Crotona Park East & East Tremont ",1/1/2021,0.379603515,0.523552533
"Belmont, Crotona Park East & East Tremont ",2/1/2021,0.360817648,0.492161946
Bensonhurst & Bath Beach ,4/1/2020,0.111275325,0.181747893
Bensonhurst & Bath Beach ,5/1/2020,0.143021187,0.233905052
Bensonhurst & Bath Beach ,6/1/2020,0.255404915,0.372961726
Bensonhurst & Bath Beach ,7/1/2020,0.327634804,0.403596911
Bensonhurst & Bath Beach ,8/1/2020,0.353806986,0.426288209
Bensonhurst & Bath Beach ,9/1/2020,0.403314201,0.46105213
Bensonhurst & Bath Beach ,10/1/2020,0.396823314,0.431299287
Bensonhurst & Bath Beach ,11/1/2020,0.407249556,0.461183675
Bensonhurst & Bath Beach ,12/1/2020,0.394438468,0.478680671
Bensonhurst & Bath Beach ,1/1/2021,0.368761831,0.440101991
Bensonhurst & Bath Beach ,2/1/2021,0.35669218,0.44832596
"Borough Park, Kensington & Ocean Parkway ",4/1/2020,0.146504244,0.194962313
"Borough Park, Kensington & Ocean Parkway ",5/1/2020,0.175495221,0.240688355
"Borough Park, Kensington & Ocean Parkway ",6/1/2020,0.290412271,0.390078072
"Borough Park, Kensington & Ocean Parkway ",7/1/2020,0.35339832,0.425841806
"Borough Park, Kensington & Ocean Parkway ",8/1/2020,0.375224032,0.454251471
"Borough Park, Kensington & Ocean Parkway ",9/1/2020,0.396092947,0.475012101
"Borough Park, Kensington & Ocean Parkway ",10/1/2020,0.417456549,0.476136172
"Borough Park, Kensington & Ocean Parkway ",11/1/2020,0.394688027,0.4643377
"Borough Park, Kensington & Ocean Parkway ",12/1/2020,0.40841241,0.488624881
"Borough Park, Kensington & Ocean Parkway ",1/1/2021,0.377587561,0.45608149
"Borough Park, Kensington & Ocean Parkway ",2/1/2021,0.37451602,0.44385876
"Briarwood, Fresh Meadows & Hillcrest ",4/1/2020,0.14578675,0.18187602
"Briarwood, Fresh Meadows & Hillcrest ",5/1/2020,0.175939078,0.211087189
"Briarwood, Fresh Meadows & Hillcrest ",6/1/2020,0.265356862,0.285647989
"Briarwood, Fresh Meadows & Hillcrest ",7/1/2020,0.362458996,0.374734223
"Briarwood, Fresh Meadows & Hillcrest ",8/1/2020,0.389322543,0.435177568
"Briarwood, Fresh Meadows & Hillcrest ",9/1/2020,0.566232347,0.568938582
"Briarwood, Fresh Meadows & Hillcrest ",10/1/2020,0.861319714,0.72274983
"Briarwood, Fresh Meadows & Hillcrest ",11/1/2020,0.499704018,0.52585306
"Briarwood, Fresh Meadows & Hillcrest ",12/1/2020,0.458591011,0.496005551
"Briarwood, Fresh Meadows & Hillcrest ",1/1/2021,0.432317187,0.477414238
"Briarwood, Fresh Meadows & Hillcrest ",2/1/2021,0.405556103,0.46227277
Brighton Beach & Coney Island ,4/1/2020,0.149086413,0.203577882
Brighton Beach & Coney Island ,5/1/2020,0.178742124,0.24905731
Brighton Beach & Coney Island ,6/1/2020,0.253449473,0.340949005
Brighton Beach & Coney Island ,7/1/2020,0.303505221,0.408607074
Brighton Beach & Coney Island ,8/1/2020,0.325783567,0.432236855
Brighton Beach & Coney Island ,9/1/2020,0.40398404,0.49295721
Brighton Beach & Coney Island ,10/1/2020,0.411751994,0.499748081
Brighton Beach & Coney Island ,11/1/2020,0.422739026,0.537658699
Brighton Beach & Coney Island ,12/1/2020,0.434655708,0.564069401
Brighton Beach & Coney Island ,1/1/2021,0.399039033,0.520594777
Brighton Beach & Coney Island ,2/1/2021,0.388379996,0.494166745
Brooklyn Heights & Fort Greene ,4/1/2020,0.069948846,0.109157699
Brooklyn Heights & Fort Greene ,5/1/2020,0.085133791,0.134449003
Brooklyn Heights & Fort Greene ,6/1/2020,0.145585932,0.212110969
Brooklyn Heights & Fort Greene ,7/1/2020,0.202531905,0.289339305
Brooklyn Heights & Fort Greene ,8/1/2020,0.220601443,0.317231342
Brooklyn Heights & Fort Greene ,9/1/2020,0.247851129,0.343547248
Brooklyn Heights & Fort Greene ,10/1/2020,0.261245491,0.361820081
Brooklyn Heights & Fort Greene ,11/1/2020,0.247980867,0.349563164
Brooklyn Heights & Fort Greene ,12/1/2020,0.254385226,0.364464939
Brooklyn Heights & Fort Greene ,1/1/2021,0.231475381,0.340102359
Brooklyn Heights & Fort Greene ,2/1/2021,0.22374459,0.32255193
Brownsville & Ocean Hill ,4/1/2020,0.20576095,0.288116995
Brownsville & Ocean Hill ,5/1/2020,0.223005112,0.316977584
Brownsville & Ocean Hill ,6/1/2020,0.307905284,0.42251358
Brownsville & Ocean Hill ,7/1/2020,0.376178628,0.510198371
Brownsville & Ocean Hill ,8/1/2020,0.36236792,0.49547974
Brownsville & Ocean Hill ,9/1/2020,0.388642039,0.504447019
Brownsville & Ocean Hill ,10/1/2020,0.405134466,0.513538479
Brownsville & Ocean Hill ,11/1/2020,0.415955671,0.535104478
Brownsville & Ocean Hill ,12/1/2020,0.418198122,0.547230166
Brownsville & Ocean Hill ,1/1/2021,0.376004505,0.492434493
Brownsville & Ocean Hill ,2/1/2021,0.367722424,0.47084718
Bushwick ,4/1/2020,0.106845232,0.186492606
Bushwick ,5/1/2020,0.141185108,0.228329299
Bushwick ,6/1/2020,0.22657437,0.336715766
Bushwick ,7/1/2020,0.315140578,0.451670285
Bushwick ,8/1/2020,0.33672831,0.472959622
Bushwick ,9/1/2020,0.375751305,0.51444623
Bushwick ,10/1/2020,0.375793093,0.529635145
Bushwick ,11/1/2020,0.361352846,0.513156061
Bushwick ,12/1/2020,0.3631003,0.531944326
Bushwick ,1/1/2021,0.341996264,0.503536747
Bushwick ,2/1/2021,0.330087215,0.499953584
Canarsie & Flatlands ,4/1/2020,0.09854537,0.167789812
Canarsie & Flatlands ,5/1/2020,0.097753402,0.134561573
Canarsie & Flatlands ,6/1/2020,0.168007772,0.142839026
Canarsie & Flatlands ,7/1/2020,0.268972643,0.202531827
Canarsie & Flatlands ,8/1/2020,0.270272822,0.186930695
Canarsie & Flatlands ,9/1/2020,0.286430742,0.156528552
Canarsie & Flatlands ,10/1/2020,0.370186855,0.158985747
Canarsie & Flatlands ,11/1/2020,0.350570571,0.133145374
Canarsie & Flatlands ,12/1/2020,0.336639742,0.148173722
Canarsie & Flatlands ,1/1/2021,0.27078792,0.36866117
Canarsie & Flatlands ,2/1/2021,0.241453238,0.524524977
"Castle Hill, Clason Point & Parkchester ",4/1/2020,0.166573209,0.218680444
"Castle Hill, Clason Point & Parkchester ",5/1/2020,0.203852552,0.25991365
"Castle Hill, Clason Point & Parkchester ",6/1/2020,0.282539011,0.364930521
"Castle Hill, Clason Point & Parkchester ",7/1/2020,0.35100189,0.449907316
"Castle Hill, Clason Point & Parkchester ",8/1/2020,0.358867794,0.460892828
"Castle Hill, Clason Point & Parkchester ",9/1/2020,0.40980076,0.51324849
"Castle Hill, Clason Point & Parkchester ",10/1/2020,0.424700341,0.514963015
"Castle Hill, Clason Point & Parkchester ",11/1/2020,0.419328167,0.496816138
"Castle Hill, Clason Point & Parkchester ",12/1/2020,0.42553057,0.531395725
"Castle Hill, Clason Point & Parkchester ",1/1/2021,0.391005972,0.48002045
"Castle Hill, Clason Point & Parkchester ",2/1/2021,0.381388677,0.467668268
Central Harlem ,4/1/2020,0.119292165,0.222278965
Central Harlem ,5/1/2020,0.131680309,0.245118327
Central Harlem ,6/1/2020,0.190596197,0.328940186
Central Harlem ,7/1/2020,0.251278251,0.419261751
Central Harlem ,8/1/2020,0.310357703,0.51984083
Central Harlem ,9/1/2020,0.313346776,0.495276251
Central Harlem ,10/1/2020,0.322026522,0.478938625
Central Harlem ,11/1/2020,0.327239927,0.521570906
Central Harlem ,12/1/2020,0.323606625,0.515663048
Central Harlem ,1/1/2021,0.298203139,0.480500088
Central Harlem ,2/1/2021,0.295020967,0.471325984
"Chelsea, Clinton & Midtown Business District ",4/1/2020,0.043839846,0.063350185
"Chelsea, Clinton & Midtown Business District ",5/1/2020,0.056811153,0.080042149
"Chelsea, Clinton & Midtown Business District ",6/1/2020,0.103753928,0.137040414
"Chelsea, Clinton & Midtown Business District ",7/1/2020,0.154583777,0.200547089
"Chelsea, Clinton & Midtown Business District ",8/1/2020,0.170028602,0.22249018
"Chelsea, Clinton & Midtown Business District ",9/1/2020,0.199670611,0.258935698
"Chelsea, Clinton & Midtown Business District ",10/1/2020,0.201751927,0.261620739
"Chelsea, Clinton & Midtown Business District ",11/1/2020,0.197046804,0.25964939
"Chelsea, Clinton & Midtown Business District ",12/1/2020,0.196461644,0.265430614
"Chelsea, Clinton & Midtown Business District ",1/1/2021,0.189381445,0.253550725
"Chelsea, Clinton & Midtown Business District ",2/1/2021,0.187906294,0.252502346
Chinatown & Lower East Side ,4/1/2020,0.070672076,0.109272534
Chinatown & Lower East Side ,5/1/2020,0.088686559,0.127855301
Chinatown & Lower East Side ,6/1/2020,0.150933411,0.204853766
Chinatown & Lower East Side ,7/1/2020,0.218090227,0.284085288
Chinatown & Lower East Side ,8/1/2020,0.24855836,0.331502022
Chinatown & Lower East Side ,9/1/2020,0.272248638,0.380953247
Chinatown & Lower East Side ,10/1/2020,0.277252928,0.372615207
Chinatown & Lower East Side ,11/1/2020,0.27573682,0.372719931
Chinatown & Lower East Side ,12/1/2020,0.257702507,0.36041138
Chinatown & Lower East Side ,1/1/2021,0.243769784,0.348927976
Chinatown & Lower East Side ,2/1/2021,0.245861781,0.356265247
"Co-op City, Pelham Bay & Schuylerville ",4/1/2020,0.152818005,0.228412938
"Co-op City, Pelham Bay & Schuylerville ",5/1/2020,0.171271022,0.27433218
"Co-op City, Pelham Bay & Schuylerville ",6/1/2020,0.247407512,0.378629518
"Co-op City, Pelham Bay & Schuylerville ",7/1/2020,0.321101161,0.481126035
"Co-op City, Pelham Bay & Schuylerville ",8/1/2020,0.327821814,0.467150887
"Co-op City, Pelham Bay & Schuylerville ",9/1/2020,0.349316165,0.500683724
"Co-op City, Pelham Bay & Schuylerville ",10/1/2020,0.376725419,0.548679745
"Co-op City, Pelham Bay & Schuylerville ",11/1/2020,0.365215,0.507512014
"Co-op City, Pelham Bay & Schuylerville ",12/1/2020,0.348058812,0.490649278
"Co-op City, Pelham Bay & Schuylerville ",1/1/2021,0.329604879,0.480047479
"Co-op City, Pelham Bay & Schuylerville ",2/1/2021,0.329293435,0.474506733
"Concourse, Highbridge & Mount Eden ",4/1/2020,0.198317973,0.291574965
"Concourse, Highbridge & Mount Eden ",5/1/2020,0.227597206,0.333049003
"Concourse, Highbridge & Mount Eden ",6/1/2020,0.311468174,0.438011596
"Concourse, Highbridge & Mount Eden ",7/1/2020,0.366521292,0.510906706
"Concourse, Highbridge & Mount Eden ",8/1/2020,0.366554749,0.526479297
"Concourse, Highbridge & Mount Eden ",9/1/2020,0.414659735,0.554641302
"Concourse, Highbridge & Mount Eden ",10/1/2020,0.425716464,0.581766748
"Concourse, Highbridge & Mount Eden ",11/1/2020,0.42424818,0.562266971
"Concourse, Highbridge & Mount Eden ",12/1/2020,0.443251044,0.571278175
"Concourse, Highbridge & Mount Eden ",1/1/2021,0.3991378,0.539304529
"Concourse, Highbridge & Mount Eden ",2/1/2021,0.378092989,0.542422666
Crown Heights North & Prospect Heights ,4/1/2020,0.13020618,0.200606083
Crown Heights North & Prospect Heights ,5/1/2020,0.149454671,0.230066214
Crown Heights North & Prospect Heights ,6/1/2020,0.21079444,0.314040464
Crown Heights North & Prospect Heights ,7/1/2020,0.273553684,0.395991333
Crown Heights North & Prospect Heights ,8/1/2020,0.279493541,0.415167358
Crown Heights North & Prospect Heights ,9/1/2020,0.323657623,0.448484336
Crown Heights North & Prospect Heights ,10/1/2020,0.335986782,0.468315766
Crown Heights North & Prospect Heights ,11/1/2020,0.343258525,0.481701166
Crown Heights North & Prospect Heights ,12/1/2020,0.359766835,0.495707996
Crown Heights North & Prospect Heights ,1/1/2021,0.321260397,0.445264736
Crown Heights North & Prospect Heights ,2/1/2021,0.321872785,0.451705681
"Crown Heights South, Prospect Lefferts & Wingate ",4/1/2020,0.124277269,0.153680182
"Crown Heights South, Prospect Lefferts & Wingate ",5/1/2020,0.143106938,0.173898785
"Crown Heights South, Prospect Lefferts & Wingate ",6/1/2020,0.218277838,0.258792521
"Crown Heights South, Prospect Lefferts & Wingate ",7/1/2020,0.275270417,0.342090857
"Crown Heights South, Prospect Lefferts & Wingate ",8/1/2020,0.294232109,0.3801487
"Crown Heights South, Prospect Lefferts & Wingate ",9/1/2020,0.328193916,0.406345507
"Crown Heights South, Prospect Lefferts & Wingate ",10/1/2020,0.343721194,0.430226014
"Crown Heights South, Prospect Lefferts & Wingate ",11/1/2020,0.343499012,0.439963743
"Crown Heights South, Prospect Lefferts & Wingate ",12/1/2020,0.349779142,0.443597076
"Crown Heights South, Prospect Lefferts & Wingate ",1/1/2021,0.319941965,0.401974126
"Crown Heights South, Prospect Lefferts & Wingate ",2/1/2021,0.322775368,0.407805845
"East Flatbush, Farragut & Rugby ",4/1/2020,0.180165601,0.250934505
"East Flatbush, Farragut & Rugby ",5/1/2020,0.194239334,0.249158351
"East Flatbush, Farragut & Rugby ",6/1/2020,0.286722658,0.356700636
"East Flatbush, Farragut & Rugby ",7/1/2020,0.372922825,0.446544643
"East Flatbush, Farragut & Rugby ",8/1/2020,0.344880823,0.445875801
"East Flatbush, Farragut & Rugby ",9/1/2020,0.401695447,0.537974066
"East Flatbush, Farragut & Rugby ",10/1/2020,0.426402198,0.554749913
"East Flatbush, Farragut & Rugby ",11/1/2020,0.388870926,0.486735982
"East Flatbush, Farragut & Rugby ",12/1/2020,0.409510582,0.529715849
"East Flatbush, Farragut & Rugby ",1/1/2021,0.377309793,0.491602552
"East Flatbush, Farragut & Rugby ",2/1/2021,0.36906106,0.489971025
East Harlem ,4/1/2020,0.159047561,0.268335372
East Harlem ,5/1/2020,0.172846326,0.285310963
East Harlem ,6/1/2020,0.234558206,0.373929204
East Harlem ,7/1/2020,0.295312483,0.467150471
East Harlem ,8/1/2020,0.287530884,0.44772973
East Harlem ,9/1/2020,0.335025535,0.485740208
East Harlem ,10/1/2020,0.348456002,0.513915134
East Harlem ,11/1/2020,0.347675264,0.517817356
East Harlem ,12/1/2020,0.35493273,0.54238549
East Harlem ,1/1/2021,0.334839854,0.501972664
East Harlem ,2/1/2021,0.335582933,0.495164967
East New York & Starrett City ,4/1/2020,0.190248507,0.269011405
East New York & Starrett City ,5/1/2020,0.234484574,0.335520711
East New York & Starrett City ,6/1/2020,0.318860885,0.429345445
East New York & Starrett City ,7/1/2020,0.36881066,0.493937548
East New York & Starrett City ,8/1/2020,0.380750762,0.526054536
East New York & Starrett City ,9/1/2020,0.416668155,0.54656556
East New York & Starrett City ,10/1/2020,0.424806458,0.542769237
East New York & Starrett City ,11/1/2020,0.418946675,0.540347784
East New York & Starrett City ,12/1/2020,0.424476915,0.562883484
East New York & Starrett City ,1/1/2021,0.391756594,0.515749107
East New York & Starrett City ,2/1/2021,0.373986796,0.494884856
Elmhurst & South Corona ,4/1/2020,0.0854382,0.11028606
Elmhurst & South Corona ,5/1/2020,0.12630925,0.161906651
Elmhurst & South Corona ,6/1/2020,0.225648178,0.282143711
Elmhurst & South Corona ,7/1/2020,0.311322517,0.393362924
Elmhurst & South Corona ,8/1/2020,0.323910859,0.419416832
Elmhurst & South Corona ,9/1/2020,0.369162199,0.464205205
Elmhurst & South Corona ,10/1/2020,0.409495857,0.479265711
Elmhurst & South Corona ,11/1/2020,0.414107361,0.508173342
Elmhurst & South Corona ,12/1/2020,0.409878358,0.520613244
Elmhurst & South Corona ,1/1/2021,0.386585193,0.489871608
Elmhurst & South Corona ,2/1/2021,0.386970815,0.503370752
"Far Rockaway, Breezy Point & Broad Channel ",4/1/2020,0.215716293,0.291380961
"Far Rockaway, Breezy Point & Broad Channel ",5/1/2020,0.255122575,0.340496616
"Far Rockaway, Breezy Point & Broad Channel ",6/1/2020,0.333995133,0.431753816
